date,bond_mkt_ret,duration_rf,credit_rf,liquidity_rf,cum_lrf_12m,cum_crf_12m,bond_vol_6m
2008-10-31,-0.0586170908543965,0.0209418152737823,-0.1618051422362128,-0.0071110915965648,-0.0789966831464098,-0.2261248544242742,0.1211513255412222
2008-11-30,0.0014647581686721,-0.0281161944661147,-0.1817701616480928,-0.0087824785479431,-0.0774410447195471,-0.3741289832646002,0.12499272740296767
2008-12-31,0.1036732349331079,0.104297320607809,0.0069601386125968,0.0169698806411954,-0.055943978271644615,-0.362956035690012,0.22405225152904193
2009-01-31,0.0108571039176655,0.0182505274654467,0.0582024362571544,0.0092702921644349,-0.05060068806489911,-0.27489519149450214,0.22521386237863159
2009-02-28,-0.0321762022196773,-0.0860317222507008,-0.0121150901119581,-0.0181999579604579,-0.06401555937403881,-0.2727838652989181,0.22773505536640343
2009-03-31,0.0107459128237682,0.013413820966052,0.0627540468688987,0.0295783821969997,-0.027768139475181506,-0.20795131615994192,0.19124561032501536
2009-04-30,0.0599579048937132,0.114652647042191,0.1041475549930941,0.0624463544356208,0.03177344836548149,-0.15178683839737145,0.16710009029651743
2009-05-31,0.0447182756297068,0.1181942376528426,0.0359194709934448,0.0642810039196393,0.0909230795766578,-0.13743040228584713,0.16316053926711138
2009-06-30,0.0253427196113558,0.0293583072114335,0.0065366750105567,0.0269361751675686,0.12199294153651548,-0.09888517523575582,0.1109346566304263
2009-07-31,0.0392593284578651,0.0236501213344838,0.0311358562231729,-0.0029565553024995,0.13087469191910048,-0.05284835259204442,0.11263217963311724
2009-08-31,0.0213769473281836,0.0465636883493831,0.0156714951256146,0.0401912559139857,0.173200900876896,-0.02738994923977762,0.06177905673032693
2009-09-30,0.0265439650754346,0.0521790663676138,0.0484664759063807,0.0230240622507179,0.235647323282697,0.014103755994649983,0.05084567222989995
2009-10-31,0.0073830693815262,0.0057554699619202,0.0061567016512757,0.0010208928738812,0.243779307753143,0.1820655998821385,0.04602115591842095
2009-11-30,0.0126779488213833,0.001219489781791,-0.0003422918099189,0.0014850254972573,0.2540468117983434,0.3634934697203123,0.03890272381687365
2009-12-31,0.001136501138462,0.0221960826874509,0.0438672195987638,-0.0011966481066176,0.23588028305053038,0.4004005507064794,0.048043965202973396
