date,regime,vix_close,h_decimal,A,k_decay,sigma_annual,informed_share,informed_imputed,gamma,epsilon_at_h,modulus_at_h,eps_star,fragility,stable_at_h,regime_order
1995-07-10,calm,12.19,0.009827042582482655,2.242599421907705,24.8499,0.0436002276483843,0.7154442150091062,True,98.40756575721757,58.268132179105734,0.5921102887847028,98.40756575721757,0.6116119474043291,True,0
1995-07-11,calm,12.25,0.009872734577220203,2.2332506203473943,24.8499,0.0436002276483843,0.7154442150091062,True,97.95212419420987,57.816931051110586,0.5902570416592176,97.95212419420987,0.6144557193344581,True,0
1995-07-12,calm,12.31,0.009918426571957753,2.223979440545616,24.8499,0.0436002276483843,0.7154442150091062,True,97.50067341575131,57.37022081296786,0.588408457122509,97.50067341575131,0.6173007921232276,True,0
1995-07-13,calm,12.56,0.010108809883364203,2.1861640108822384,24.8499,0.0436002276483843,0.7154442150091062,True,95.66149732821009,55.555993150192535,0.5807560481682881,95.66149732821009,0.6291689406197754,True,0
1995-07-14,calm,12.08,0.009743273925463819,2.2599437525110484,24.8499,0.0436002276483843,0.7154442150091062,True,99.25307553960015,59.1071957574424,0.5955200424379768,99.25307553960015,0.6064017926384337,True,0
1995-07-17,calm,12.26,0.009880349909676463,2.2317000595120016,24.8499,0.0436002276483843,0.7154442150091062,True,97.87660661507044,57.7421690656826,0.5899486206420219,97.87660661507044,0.6149298081899801,True,0
1995-07-18,calm,12.68,0.0102001938728393,2.1684656900539707,24.8499,0.0436002276483843,0.7154442150091062,True,94.8019794478354,54.711307357562674,0.5771114451008638,94.8019794478354,0.6348732725059747,True,0
1995-07-19,calm,13.49,0.010817035801796198,2.0561089280818785,24.8499,0.0436002276483843,0.7154442150091062,True,89.36530940845897,49.41810673554696,0.5529898241573059,89.36530940845897,0.6734967218319095,True,0
1995-07-20,calm,12.78,0.01027634719740188,2.15393452039058,24.8499,0.0436002276483843,0.7154442150091062,True,94.09688725929118,54.01992823605696,0.5740883658266072,94.09688725929118,0.6396305412977249,True,0
1995-07-21,calm,12.37,0.009964118566695301,2.214784919775569,24.8499,0.0436002276483843,0.7154442150091062,True,97.05316362543853,56.92794310308982,0.5865645278993098,97.05316362543853,0.6201471511467122,True,0
1995-07-24,calm,12.55,0.010101194550907945,2.1876519202722413,24.8499,0.0436002276483843,0.7154442150091062,True,95.73379442639835,55.627135968127746,0.5810605993570511,95.73379442639835,0.6286937992243096,True,0
1995-07-25,calm,12.77,0.01026873186494562,2.1553788677076344,24.8499,0.0436002276483843,0.7154442150091062,True,94.1669458910764,54.08856131716755,0.5743900984081207,94.1669458910764,0.6391546668797184,True,0
1995-07-26,calm,13.18,0.010580960495652198,2.097706507551744,24.8499,0.0436002276483843,0.7154442150091062,True,91.37395201760317,51.36344050786659,0.5621234429914056,91.37395201760317,0.6586914717281392,True,0
1995-07-27,calm,13.18,0.010580960495652198,2.097706507551744,24.8499,0.0436002276483843,0.7154442150091062,True,91.37395201760317,51.36344050786659,0.5621234429914056,91.37395201760317,0.6586914717281392,True,0
1995-07-28,calm,13.18,0.010580960495652198,2.097706507551744,24.8499,0.0436002276483843,0.7154442150091062,True,91.37395201760317,51.36344050786659,0.5621234429914056,91.37395201760317,0.6586914717281392,True,0
1995-07-31,calm,13.49,0.010817035801796198,2.0561089280818785,24.8499,0.0436002276483843,0.7154442150091062,True,89.36530940845897,49.41810673554696,0.5529898241573059,89.36530940845897,0.6734967218319095,True,0
1995-08-01,calm,13.56,0.010870343128990006,2.046943231441048,24.8499,0.0439069334663702,0.7154442150091062,True,88.92341317753254,48.99182984637617,0.5509441000489451,88.92341317753254,0.6768435981188626,True,0
1995-08-02,calm,13.66,0.010946496453552584,2.0339902368468628,24.8499,0.0439069334663702,0.7154442150091062,True,88.29936179633553,48.39089950344051,0.5480322679461173,88.29936179633553,0.6816271568407781,True,0
1995-08-03,calm,13.78,0.011037880443027679,2.018661403193971,24.8499,0.0439069334663702,0.7154442150091062,True,87.56152024772443,47.68202299492282,0.5445545355999228,87.56152024772443,0.6873709223162507,True,0
1995-08-04,calm,13.21,0.010603806493020973,2.0936075183772216,24.8499,0.0439069334663702,0.7154442150091062,True,91.1757979180121,51.170980774287806,0.5612342523210186,91.1757979180121,0.6601230184594986,True,0
