run_id,universe_size,bond_id,rating_bucket,epsilon,n_dealers,br_slope,sinkhorn_wasserstein_tau_shift,dlambda_informed_ddelta,h_tail_mean,h_tail_std,tau_tail_mean,q_tail_mean,hit_cap,stability_label,adversarial_regime,br_slope_z,sinkhorn_wasserstein_tau_shift_z,dlambda_informed_ddelta_z,h_tail_mean_z,h_tail_std_z,tau_tail_mean_z,q_tail_mean_z,stability_code,data_is_synthetic,primary_source,split,episode_id
972,20,12,HY,0.95,1,-0.0723810833072529,0.0273809523809523,-0.3301648277797143,5.16108301264349,0.2650020968952727,0.8945000000000001,-0.0196975813666963,True,collapsed_saturated,crisis,-0.51695,-0.09076,-0.63724,1.27863,0.02328,1.24863,-0.75127,2,True,simulator_v1,held_out,12_e0.95_n1_u20
973,20,13,HY,0.95,1,-0.1345818850910719,0.0233333333333333,-0.2170109587485395,4.172151799383277,0.3481170783084969,0.7353888888888889,0.0243102997759968,False,stable,crisis,-0.98482,-0.26106,0.04131,0.75877,0.55005,0.70626,1.0113,0,True,simulator_v1,held_out,13_e0.95_n1_u20
974,20,14,HY,0.95,1,-0.1860922628707847,0.0377777777777777,-0.2610861325226311,4.292839268324875,0.3040281472800349,0.7640555555555556,0.0235200785867627,False,stable,crisis,-1.37227,0.34668,-0.22299,0.82221,0.27062,0.80398,0.97965,0,True,simulator_v1,held_out,14_e0.95_n1_u20
975,20,15,IG,0.95,1,0.0053539565652961,0.0094586894586894,-0.6688447767578741,5.678114427175583,0.1502580383679681,0.9641465848965848,-0.0153289752819859,True,collapsed_saturated,crisis,0.06776,-0.84482,-2.66821,1.55042,-0.70394,1.48604,-0.5763,2,True,simulator_v1,held_out,15_e0.95_n1_u20
976,20,16,IG,0.95,1,-0.0277158586187143,0.0145238084355731,-0.6581001785208344,5.758727983281744,0.1325869071829805,0.9740198412698412,-0.0217009027354883,True,collapsed_saturated,crisis,-0.18099,-0.63171,-2.60378,1.5928,-0.81593,1.5197,-0.83151,2,True,simulator_v1,held_out,16_e0.95_n1_u20
977,20,17,IG,0.95,1,0.0237612175118381,0.0182878926628926,-0.7876128794557554,5.848980257081005,0.0638381178332412,0.9889007936507938,0.0163875139577007,True,collapsed_saturated,crisis,0.20622,-0.47334,-3.38043,1.64024,-1.25164,1.57042,0.69398,2,True,simulator_v1,held_out,17_e0.95_n1_u20
978,20,18,IG,0.95,1,-0.0119008528098836,0.022579365079365,-0.3699415121048602,5.1250407660431065,0.3241046262516935,0.887611111111111,-0.0126355165896019,True,collapsed_saturated,crisis,-0.06203,-0.29278,-0.87577,1.25968,0.39786,1.22515,-0.46843,2,True,simulator_v1,held_out,18_e0.95_n1_u20
979,20,19,IG,0.95,1,-0.0642112072289287,0.0262840215340215,-0.5336461324260467,5.597750217060153,0.1569830358938234,0.95565873015873,0.0053080920612527,True,collapsed_saturated,crisis,-0.4555,-0.13691,-1.85746,1.50817,-0.66131,1.45711,0.25024,2,True,simulator_v1,held_out,19_e0.95_n1_u20
980,20,0,HY,0.95,2,0.0329564896056349,0.0579047619047619,-0.1640965523475368,4.3079557408765625,0.4998613028525814,0.7690555555555556,-0.0032832097924855,False,stable,crisis,0.27538,1.1935,0.35863,0.83016,1.51176,0.82102,-0.09385,0,True,simulator_v1,held_out,0_e0.95_n2_u20
981,20,1,IG,0.95,2,-0.0506912252256363,0.0322855096001549,-0.6692585848629099,5.5905572661102045,0.0826200805013158,0.950156130906131,-0.002426586585357,True,collapsed_saturated,crisis,-0.3538,0.1156,-2.67069,1.50439,-1.13261,1.43835,-0.05955,2,True,simulator_v1,held_out,1_e0.95_n2_u20
982,20,2,HY,0.95,2,-0.0514522444635111,0.0427208994708994,-0.2437471470499487,4.895338613835794,0.2899653178574769,0.8541997354497355,0.01241730818063,False,stable,crisis,-0.35953,0.55466,-0.11902,1.13893,0.18149,1.11126,0.53497,0,True,simulator_v1,held_out,2_e0.95_n2_u20
983,20,3,IG,0.95,2,-0.0701494185004858,0.0323131644184275,-0.4609915328521398,5.565743297389936,0.1305236137182013,0.942334535834536,0.018163183564167,True,collapsed_saturated,crisis,-0.50017,0.11676,-1.42177,1.49135,-0.82901,1.41169,0.7651,2,True,simulator_v1,held_out,3_e0.95_n2_u20
984,20,4,IG,0.95,2,0.0316309503947613,0.0259221565328376,-0.6012068467550289,5.522487563876019,0.1559886952578913,0.9405987253487254,-0.0064371576884858,True,collapsed_saturated,crisis,0.26541,-0.15213,-2.2626,1.46861,-0.66762,1.40577,-0.22017,2,True,simulator_v1,held_out,4_e0.95_n2_u20
985,20,5,IG,0.95,2,-0.0563949891245055,0.011728901545078,-0.5844661678303814,5.551636420305534,0.0944046565662534,0.9476073093573094,-0.0201025711571566,True,collapsed_saturated,crisis,-0.39671,-0.7493,-2.16221,1.48393,-1.05792,1.42966,-0.76749,2,True,simulator_v1,held_out,5_e0.95_n2_u20
986,20,6,IG,0.95,2,0.0242724317758576,0.0338212604818641,-0.7982496160556243,5.559818955064058,0.1103551268797687,0.9518033295680356,0.0384274671377057,True,collapsed_saturated,crisis,0.21006,0.18021,-3.44421,1.48823,-0.95683,1.44397,1.57671,2,True,simulator_v1,held_out,6_e0.95_n2_u20
987,20,7,IG,0.95,2,0.0122684984380648,0.009626409137245,-0.6906705177620625,5.494808494755673,0.1265146794432028,0.9396844636844638,0.0056421282049214,True,collapsed_saturated,crisis,0.11977,-0.83776,-2.79909,1.45406,-0.85442,1.40266,0.26362,2,True,simulator_v1,held_out,7_e0.95_n2_u20
